# x(μm) V(V) n(m^-3) p(m^-3) Nd(m^-3) Na(m^-3)
1.668342e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.678392e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.688442e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.698492e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.708543e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.718593e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.728643e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.738693e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.748744e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.758794e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.768844e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.778894e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.788945e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.798995e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.809045e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.819095e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.829146e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.839196e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.849246e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.859296e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.869347e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.879397e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.889447e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.899497e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.909548e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.919598e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.929648e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.939698e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.949749e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.959799e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.969849e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.979899e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.989950e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
2.000000e+00 4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
